Year/month,Crimenes Personales
1999/Jan,6467
1999/Feb,5851
1999/Mar,6067
1999/Apr,5275
1999/May,5528
1999/Jun,4954
1999/Jul,5085
1999/Aug,5455
1999/Sep,5463
1999/Oct,5723
1999/Nov,5839
1999/Dec,6219
2000/Jan,6433
2000/Feb,5962
2000/Mar,6653
2000/Apr,5869
2000/May,5622
2000/Jun,5799
2000/Jul,5901
2000/Aug,5841
2000/Sep,5640
2000/Oct,6137
2000/Nov,6383
2000/Dec,7062
2001/Jan,7370
2001/Feb,7284
2001/Mar,7368
2001/Apr,6344
2001/May,6154
2001/Jun,6345
2001/Jul,6034
2001/Aug,6281
2001/Sep,6614
2001/Oct,7090
2001/Nov,6852
2001/Dec,7378
2002/Jan,7361
2002/Feb,6508
2002/Mar,7176
2002/Apr,6388
2002/May,6367
2002/Jun,6033
2002/Jul,5956
2002/Aug,6425
2002/Sep,6739
2002/Oct,6964
2002/Nov,7486
2002/Dec,7480
2003/Jan,7440
2003/Feb,7194
2003/Mar,7548
2003/Apr,6355
2003/May,6625
2003/Jun,6418
2003/Jul,6059
2003/Aug,6046
2003/Sep,6467
2003/Oct,6412
2003/Nov,6796
2003/Dec,7219
2004/Jan,6869
2004/Feb,6722
2004/Mar,6890
2004/Apr,5980
2004/May,6000
2004/Jun,5826
2004/Jul,5927
2004/Aug,6093
2004/Sep,5938
2004/Oct,6501
2004/Nov,6675
2004/Dec,7093
2005/Jan,6947
2005/Feb,6273
2005/Mar,7081
2005/Apr,6222
2005/May,6067
2005/Jun,5857
2005/Jul,6007
2005/Aug,6101
2005/Sep,6208
2005/Oct,6653
2005/Nov,6895
2005/Dec,7406
2006/Jan,7076
2006/Feb,6772
2006/Mar,7271
2006/Apr,6073
2006/May,5884
2006/Jun,5801
2006/Jul,6057
2006/Aug,6092
2006/Sep,6224
2006/Oct,6581
2006/Nov,6812
2006/Dec,7299
2007/Jan,7014
2007/Feb,6652
2007/Mar,7802
2007/Apr,6661
2007/May,6573
2007/Jun,5798
2007/Jul,6084
2007/Aug,6256
2007/Sep,6429
2007/Oct,6465
2007/Nov,6702
2007/Dec,7043
2008/Jan,7043
2008/Feb,6655
2008/Mar,7363
2008/Apr,5866
2008/May,6514
2008/Jun,6001
2008/Jul,5705
2008/Aug,6275
2008/Sep,6312
2008/Oct,6872
2008/Nov,7019
2008/Dec,6805
2009/Jan,7037
2009/Feb,6396
2009/Mar,7020
2009/Apr,6044
2009/May,6089
2009/Jun,5686
2009/Jul,5524
2009/Aug,6279
2009/Sep,6089
2009/Oct,6394
2009/Nov,6777
2009/Dec,7004
2010/Jan,7177
2010/Feb,6353
2010/Mar,6910
2010/Apr,5679
2010/May,5826
2010/Jun,5574